movie_title,year,star_cast,rating
Drishyam 2,2021,"Jeethu Joseph (dir.), Mohanlal, Meena",8.0
Dune: Part One,2021,"Denis Villeneuve (dir.), Timothée Chalamet, Rebecca Ferguson",8.2
The Father,2020,"Florian Zeller (dir.), Anthony Hopkins, Olivia Colman",8.2
Hamilton,2020,"Thomas Kail (dir.), Lin-Manuel Miranda, Phillipa Soo",8.3
Avengers: Endgame,2019,"Anthony Russo (dir.), Robert Downey Jr., Chris Evans",8.3
Gisaengchung,2019,"Bong Joon Ho (dir.), Kang-ho Song, Sun-kyun Lee",8.5
1917,2019,"Sam Mendes (dir.), Dean-Charles Chapman, George MacKay",8.2
Ford v Ferrari,2019,"James Mangold (dir.), Matt Damon, Christian Bale",8.1
Joker,2019,"Todd Phillips (dir.), Joaquin Phoenix, Robert De Niro",8.3
Klaus,2019,"Sergio Pablos (dir.), Jason Schwartzman, J.K. Simmons",8.1
Spider-Man: Into the Spider-Verse,2018,"Bob Persichetti (dir.), Shameik Moore, Jake Johnson",8.4
Avengers: Infinity War,2018,"Anthony Russo (dir.), Robert Downey Jr., Chris Hemsworth",8.4
Green Book,2018,"Peter Farrelly (dir.), Viggo Mortensen, Mahershala Ali",8.2
Andhadhun,2018,"Sriram Raghavan (dir.), Ayushmann Khurrana, Tabu",8.1
Capharnaüm,2018,"Nadine Labaki (dir.), Zain Al Rafeea, Yordanos Shiferaw",8.3
Logan,2017,"James Mangold (dir.), Hugh Jackman, Patrick Stewart",8.1
"Three Billboards Outside Ebbing, Missouri",2017,"Martin McDonagh (dir.), Frances McDormand, Woody Harrelson",8.1
Coco,2017,"Lee Unkrich (dir.), Anthony Gonzalez, Gael García Bernal",8.3
Kimi no na wa,2016,"Makoto Shinkai (dir.), Ryûnosuke Kamiki, Mone Kamishiraishi",8.3
Hacksaw Ridge,2016,"Mel Gibson (dir.), Andrew Garfield, Sam Worthington",8.1
Koe no katachi,2016,"Naoko Yamada (dir.), Miyu Irino, Saori Hayami",8.0
Dangal,2016,"Nitesh Tiwari (dir.), Aamir Khan, Sakshi Tanwar",8.2
Ah-ga-ssi,2016,"Park Chan-Wook (dir.), Kim Min-hee, Ha Jung-woo",8.1
Inside Out,2015,"Pete Docter (dir.), Amy Poehler, Bill Hader",8.1
Mad Max: Fury Road,2015,"George Miller (dir.), Tom Hardy, Charlize Theron",8.1
Room,2015,"Lenny Abrahamson (dir.), Brie Larson, Jacob Tremblay",8.1
Spotlight,2015,"Tom McCarthy (dir.), Mark Ruffalo, Michael Keaton",8.0
The Grand Budapest Hotel,2014,"Wes Anderson (dir.), Ralph Fiennes, F. Murray Abraham",8.1
Whiplash,2014,"Damien Chazelle (dir.), Miles Teller, J.K. Simmons",8.5
Gone Girl,2014,"David Fincher (dir.), Ben Affleck, Rosamund Pike",8.1
Relatos salvajes,2014,"Damián Szifron (dir.), Darío Grandinetti, María Marull",8.1
Interstellar,2014,"Christopher Nolan (dir.), Matthew McConaughey, Anne Hathaway",8.5
Prisoners,2013,"Denis Villeneuve (dir.), Hugh Jackman, Jake Gyllenhaal",8.1
Rush,2013,"Ron Howard (dir.), Daniel Brühl, Chris Hemsworth",8.0
12 Years a Slave,2013,"Steve McQueen (dir.), Chiwetel Ejiofor, Michael Kenneth Williams",8.1
The Wolf of Wall Street,2013,"Martin Scorsese (dir.), Leonardo DiCaprio, Jonah Hill",8.2
Mandariinid,2013,"Zaza Urushadze (dir.), Lembit Ulfsak, Elmo Nüganen",8.0
Jagten,2012,"Thomas Vinterberg (dir.), Mads Mikkelsen, Thomas Bo Larsen",8.3
The Dark Knight Rises,2012,"Christopher Nolan (dir.), Christian Bale, Tom Hardy",8.3
Django Unchained,2012,"Quentin Tarantino (dir.), Jamie Foxx, Christoph Waltz",8.4
Gangs of Wasseypur,2012,"Anurag Kashyap (dir.), Manoj Bajpayee, Richa Chadha",8.0
Jodaeiye Nader az Simin,2011,"Asghar Farhadi (dir.), Payman Maadi, Leila Hatami",8.2
Warrior,2011,"Gavin O'Connor (dir.), Tom Hardy, Nick Nolte",8.1
Harry Potter and the Deathly Hallows: Part 2,2011,"David Yates (dir.), Daniel Radcliffe, Emma Watson",8.1
The Intouchables,2011,"Olivier Nakache (dir.), François Cluzet, Omar Sy",8.5
Shutter Island,2010,"Martin Scorsese (dir.), Leonardo DiCaprio, Emily Mortimer",8.1
Inception,2010,"Christopher Nolan (dir.), Leonardo DiCaprio, Joseph Gordon-Levitt",8.7
Toy Story 3,2010,"Lee Unkrich (dir.), Tom Hanks, Tim Allen",8.2
How to Train Your Dragon,2010,"Dean DeBlois (dir.), Jay Baruchel, Gerard Butler",8.1
Incendies,2010,"Denis Villeneuve (dir.), Lubna Azabal, Mélissa Désormeaux-Poulin",8.2
Inglourious Basterds,2009,"Quentin Tarantino (dir.), Brad Pitt, Diane Kruger",8.3
Mary and Max,2009,"Adam Elliot (dir.), Toni Collette, Philip Seymour Hoffman",8.1
Hachi: A Dog's Tale,2009,"Lasse Hallström (dir.), Richard Gere, Joan Allen",8.0
3 Idiots,2009,"Rajkumar Hirani (dir.), Aamir Khan, Madhavan",8.3
El secreto de sus ojos,2009,"Juan José Campanella (dir.), Ricardo Darín, Soledad Villamil",8.1
Up,2009,"Pete Docter (dir.), Ed Asner, Jordan Nagai",8.2
Gran Torino,2008,"Clint Eastwood (dir.), Clint Eastwood, Bee Vang",8.1
WALL·E,2008,"Andrew Stanton (dir.), Ben Burtt, Elissa Knight",8.4
The Dark Knight,2008,"Christopher Nolan (dir.), Christian Bale, Heath Ledger",9.0
Into the Wild,2007,"Sean Penn (dir.), Emile Hirsch, Vince Vaughn",8.0
There Will Be Blood,2007,"Paul Thomas Anderson (dir.), Daniel Day-Lewis, Paul Dano",8.2
No Country for Old Men,2007,"Ethan Coen (dir.), Tommy Lee Jones, Javier Bardem",8.1
Taare Zameen Par,2007,"Aamir Khan (dir.), Darsheel Safary, Aamir Khan",8.3
The Lives of Others,2006,"Florian Henckel von Donnersmarck (dir.), Ulrich Mühe, Martina Gedeck",8.4
The Departed,2006,"Martin Scorsese (dir.), Leonardo DiCaprio, Matt Damon",8.5
Pan's Labyrinth,2006,"Guillermo del Toro (dir.), Ivana Baquero, Ariadna Gil",8.1
The Prestige,2006,"Christopher Nolan (dir.), Christian Bale, Hugh Jackman",8.5
V for Vendetta,2005,"James McTeigue (dir.), Hugo Weaving, Natalie Portman",8.1
Batman Begins,2005,"Christopher Nolan (dir.), Christian Bale, Michael Caine",8.2
Babam ve Oglum,2005,"Cagan Irmak (dir.), Eser Sariyar, Çetin Tekindor",8.1
Million Dollar Baby,2004,"Clint Eastwood (dir.), Hilary Swank, Clint Eastwood",8.1
Before Sunset,2004,"Richard Linklater (dir.), Ethan Hawke, Julie Delpy",8.0
Hotel Rwanda,2004,"Terry George (dir.), Don Cheadle, Sophie Okonedo",8.0
Hauru no ugoku shiro,2004,"Hayao Miyazaki (dir.), Chieko Baishô, Takuya Kimura",8.2
Der Untergang,2004,"Oliver Hirschbiegel (dir.), Bruno Ganz, Alexandra Maria Lara",8.2
Eternal Sunshine of the Spotless Mind,2004,"Michel Gondry (dir.), Jim Carrey, Kate Winslet",8.3
Salinui chueok,2003,"Bong Joon Ho (dir.), Kang-ho Song, Kim Sang-kyung",8.1
Oldeuboi,2003,"Park Chan-Wook (dir.), Choi Min-sik, Yoo Ji-Tae",8.3
The Lord of the Rings: The Return of the King,2003,"Peter Jackson (dir.), Elijah Wood, Viggo Mortensen",8.9
Finding Nemo,2003,"Andrew Stanton (dir.), Albert Brooks, Ellen DeGeneres",8.1
Kill Bill: Vol 1,2003,"Quentin Tarantino (dir.), Uma Thurman, David Carradine",8.1
The Pianist,2002,"Roman Polanski (dir.), Adrien Brody, Thomas Kretschmann",8.5
Catch Me If You Can,2002,"Steven Spielberg (dir.), Leonardo DiCaprio, Tom Hanks",8.1
The Lord of the Rings: The Two Towers,2002,"Peter Jackson (dir.), Elijah Wood, Ian McKellen",8.7
Cidade de Deus,2002,"Fernando Meirelles (dir.), Alexandre Rodrigues, Leandro Firmino",8.6
"Monsters, Inc",2001,"Pete Docter (dir.), Billy Crystal, John Goodman",8.0
 The Lord of the Rings: The Fellowship of the Ring,2001,"Peter Jackson (dir.), Elijah Wood, Ian McKellen",8.8
A Beautiful Mind,2001,"Ron Howard (dir.), Russell Crowe, Ed Harris",8.1
Le fabuleux destin d'Amélie Poulain,2001,"Jean-Pierre Jeunet (dir.), Audrey Tautou, Mathieu Kassovitz",8.2
Sen to Chihiro no kamikakushi,2001,"Hayao Miyazaki (dir.), Daveigh Chase, Suzanne Pleshette",8.5
Amores perros,2000,"Alejandro G. Iñárritu (dir.), Emilio Echevarría, Gael García Bernal",8.0
Snatch,2000,"Guy Ritchie (dir.), Jason Statham, Brad Pitt",8.2
Gladiator,2000,"Ridley Scott (dir.), Russell Crowe, Joaquin Phoenix",8.5
Memento,2000,"Christopher Nolan (dir.), Guy Pearce, Carrie-Anne Moss",8.4
Requiem for a Dream,2000,"Darren Aronofsky (dir.), Ellen Burstyn, Jared Leto",8.3
Fa Yeung Nin Wah,2000,"Kar-Wai Wong (dir.), Tony Chiu-Wai Leung, Maggie Cheung",8.0
The Matrix,1999,"Lana Wachowski (dir.), Keanu Reeves, Laurence Fishburne",8.6
The Sixth Sense,1999,"M. Night Shyamalan (dir.), Bruce Willis, Haley Joel Osment",8.1
Fight Club,1999,"David Fincher (dir.), Brad Pitt, Edward Norton",8.8
American Beauty,1999,"Sam Mendes (dir.), Kevin Spacey, Annette Bening",8.3
The Green Mile,1999,"Frank Darabont (dir.), Tom Hanks, Michael Clarke Duncan",8.5
"Lock, Stock and Two Smoking Barrels",1998,"Guy Ritchie (dir.), Jason Flemyng, Dexter Fletcher",8.1
American History X,1998,"Tony Kaye (dir.), Edward Norton, Edward Furlong",8.5
Saving Private Ryan,1998,"Steven Spielberg (dir.), Tom Hanks, Matt Damon",8.6
The Truman Show,1998,"Peter Weir (dir.), Jim Carrey, Ed Harris",8.1
The Big Lebowski,1998,"Joel Coen (dir.), Jeff Bridges, John Goodman",8.1
Bacheha-Ye aseman,1997,"Majid Majidi (dir.), Mohammad Amir Naji, Amir Farrokh Hashemian",8.2
"Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo, kimi ni",1997,"Hideaki Anno (dir.), Megumi Ogata, Megumi Hayashibara",8.0
LA Confidential,1997,"Curtis Hanson (dir.), Kevin Spacey, Russell Crowe",8.2
Mononoke-hime,1997,"Hayao Miyazaki (dir.), Yôji Matsuda, Yuriko Ishida",8.3
La vita è bella,1997,"Roberto Benigni (dir.), Roberto Benigni, Nicoletta Braschi",8.6
Good Will Hunting,1997,"Gus Van Sant (dir.), Robin Williams, Matt Damon",8.3
Fargo,1996,"Joel Coen (dir.), William H. Macy, Frances McDormand",8.1
Eskiya,1996,"Yavuz Turgul (dir.), Sener Sen, Ugur Yücel",8.0
Trainspotting,1996,"Danny Boyle (dir.), Ewan McGregor, Ewen Bremner",8.1
Heat,1995,"Michael Mann (dir.), Al Pacino, Robert De Niro",8.2
La haine,1995,"Mathieu Kassovitz (dir.), Vincent Cassel, Hubert Koundé",8.0
Se7en,1995,"David Fincher (dir.), Morgan Freeman, Brad Pitt",8.6
Braveheart,1995,"Mel Gibson (dir.), Mel Gibson, Sophie Marceau",8.3
Before Sunrise,1995,"Richard Linklater (dir.), Ethan Hawke, Julie Delpy",8.1
Toy Story,1995,"John Lasseter (dir.), Tom Hanks, Tim Allen",8.3
The Usual Suspects,1995,"Bryan Singer (dir.), Kevin Spacey, Gabriel Byrne",8.5
Casino,1995,"Martin Scorsese (dir.), Robert De Niro, Sharon Stone",8.2
Trois couleurs: Rouge,1994,"Krzysztof Kieslowski (dir.), Irène Jacob, Jean-Louis Trintignant",8.0
Pulp Fiction,1994,"Quentin Tarantino (dir.), John Travolta, Uma Thurman",8.8
The Shawshank Redemption,1994,"Frank Darabont (dir.), Tim Robbins, Morgan Freeman",9.2
Léon,1994,"Luc Besson (dir.), Jean Reno, Gary Oldman",8.5
